"觀測時間(month)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime","RH","SunShine"
"01","927.9","937.1","2000/01/21 09:47:00","920.0","2000/01/15 15:20:00","13.4","31.0","2000/01/12 10:27:00","5.5","2000/01/27 03:38:00","0.8","156","7.0","333","2000/01/30 07:08:00","19.5","11","4.5","2000/01/25 00:00:00","/","/"
"02","925.8","934.3","2000/02/01 00:13:00","916.6","--","13.0","28.1","2000/02/14 10:22:00","6.5","2000/02/09 00:51:00","0.8","160","5.6","331","2000/02/03 04:56:00","112.5","19","28.5","2000/02/21 00:00:00","/","/"
"03","924.7","931.5","2000/03/25 07:50:00","918.3","2000/03/11 15:17:00","15.7","28.6","2000/03/28 09:16:00","10.3","2000/03/17 05:05:00","0.9","161","7.3","147","2000/03/28 10:54:00","48.5","17","14.0","2000/03/12 00:00:00","/","/"
"04","922.2","928.4","2000/04/17 21:46:00","914.5","2000/04/14 14:36:00","17.9","31.9","2000/04/26 10:25:00","9.8","2000/04/17 05:12:00","0.8","154","7.1","336","2000/04/26 09:34:00","71.0","17","18.5","2000/04/01 00:00:00","/","/"
"05","920.9","925.9","2000/05/04 23:00:00","916.3","2000/05/19 03:52:00","19.4","28.8","2000/05/31 10:28:00","13.5","2000/05/09 04:28:00","0.8","156","6.3","174","2000/05/28 13:11:00","115.0","17","50.0","2000/05/28 00:00:00","/","/"
"06","920.3","925.1","2000/06/02 10:07:00","914.1","2000/06/12 15:36:00","22.8","30.3","2000/06/29 11:52:00","14.7","2000/06/14 07:16:00","0.7","160","7.3","123","2000/06/30 11:22:00","109.5","10","63.0","2000/06/13 00:00:00","/","/"
"07","917.5","925.2","2000/07/11 22:12:00","899.3","2000/07/09 09:22:00","22.7","32.1","2000/07/30 10:40:00","18.1","2000/07/21 03:21:00","0.8","167","11.3","343","2000/07/09 08:51:00","338.5","15","117.0","2000/07/09 00:00:00","/","/"
"08","917.5","922.7","2000/08/17 22:36:00","875.8","2000/08/22 22:37:00","22.7","34.4","2000/08/31 11:18:00","18.0","2000/08/06 03:51:00","0.9","164","51.0","312","2000/08/22 22:19:00","893.5","16","452.0","2000/08/22 00:00:00","/","/"
"09","920.5","928.6","2000/09/21 21:56:00","908.2","2000/09/14 14:35:00","21.9","34.6","2000/09/02 10:24:00","15.1","2000/09/18 06:07:00","0.9","164","7.2","320","2000/09/24 04:39:00","47.5","16","26.5","2000/09/15 00:00:00","/","/"
"10","923.9","928.9","2000/10/15 20:37:00","909.4","2000/10/31 23:59:00","21.0","36.4","2000/10/24 10:35:00","15.4","2000/10/28 05:08:00","0.9","169","21.8","145","2000/10/31 20:49:00","666.5","21","385.0","2000/10/31 00:00:00","/","/"
"11","926.0","931.0","2000/11/18 08:54:00","897.8","2000/11/01 05:02:00","18.3","34.7","2000/11/26 12:11:00","11.7","2000/11/21 06:30:00","0.7","163","12.8","160","2000/11/01 00:11:00","123.0","16","78.0","2000/11/01 00:00:00","/","/"
"12","926.9","932.8","2000/12/26 19:38:00","918.7","2000/12/30 15:29:00","15.9","32.3","2000/12/20 10:31:00","9.1","2000/12/31 23:58:00","0.7","160","7.2","147","2000/12/16 17:51:00","63.5","17","14.5","2000/12/12 00:00:00","/","/"
